26/11/12 7.37
Statistiche del progetto

                 	Segmenti	Parole	Caratteri (senza spazi)	Caratteri (con spazi)	
Totali:          	    5241	 39026	                 226555	               260350	
Restanti:        	    5240	 39023	                 226537	               260330	
Univoci:         	    2932	 34165	                 188905	               220514	
Univoci restanti:	    2931	 34162	                 188887	               220494	


Statistiche file singoli:

Nome del file               	Segmenti totali	Segmenti restanti	Segmenti univoci	Segmenti univoci restanti	Parole totali	Parole restanti	Parole univoche	Parole univoche restanti	Caratteri totali (senza spazi)	Caratteri restanti (senza spazi)	Caratteri univoci (senza spazi)	Caratteri univoci restanti (senza spazi)	Caratteri totali (con spazi)	Caratteri restanti (con spazi)	Caratteri univoci (con spazi)	Caratteri univoci restanti (con spazi)	
tutorial/appetite.html      	            130	              130	              91	                       91	          950	            950	            885	                     885	                          5153	                            5153	                           4638	                                    4638	                        5959	                          5959	                         5415	                                  5415	
tutorial/classes.html       	            681	              681	             500	                      500	         5898	           5898	           5509	                    5509	                         32659	                           32659	                          29523	                                   29523	                       37662	                         37662	                        34371	                                 34371	
tutorial/controlflow.html   	            522	              522	             337	                      337	         4308	           4308	           3913	                    3913	                         24264	                           24264	                          20803	                                   20803	                       28249	                         28249	                        24644	                                 24644	
tutorial/datastructures.html	            424	              424	             260	                      260	         3903	           3903	           3559	                    3559	                         20717	                           20717	                          18045	                                   18045	                       24489	                         24489	                        21667	                                 21667	
tutorial/errors.html        	            347	              347	             176	                      176	         2433	           2433	           2069	                    2069	                         14881	                           14881	                          11616	                                   11616	                       17095	                         17095	                        13715	                                 13715	
tutorial/floatingpoint.html 	            245	              245	             142	                      142	         1975	           1975	           1747	                    1747	                         11392	                           11392	                           9649	                                    9649	                       13057	                         13057	                        11195	                                 11195	
tutorial/index.html         	            473	              472	             251	                      250	         1224	           1221	            799	                     796	                         10121	                           10103	                           7195	                                    7177	                       10738	                         10718	                         7614	                                  7594	
tutorial/inputoutput.html   	            344	              344	             166	                      166	         3030	           3030	           2647	                    2647	                         16356	                           16356	                          13373	                                   13373	                       19013	                         19013	                        15875	                                 15875	
tutorial/interactive.html   	            202	              202	              75	                       75	         1212	           1212	            959	                     959	                          7403	                            7403	                           5530	                                    5530	                        8353	                          8353	                         6350	                                  6350	
tutorial/interpreter.html   	            282	              282	             118	                      118	         2000	           2000	           1669	                    1669	                         11413	                           11413	                           8830	                                    8830	                       13062	                         13062	                        10326	                                 10326	
tutorial/introduction.html  	            352	              352	             201	                      201	         3234	           3234	           2931	                    2931	                         17132	                           17132	                          14889	                                   14889	                       20130	                         20130	                        17749	                                 17749	
tutorial/modules.html       	            423	              423	             244	                      244	         3699	           3699	           3341	                    3341	                         21661	                           21661	                          18858	                                   18858	                       24914	                         24914	                        21959	                                 21959	
tutorial/stdlib.html        	            351	              351	             165	                      165	         2038	           2038	           1603	                    1603	                         13522	                           13522	                          10353	                                   10353	                       15057	                         15057	                        11658	                                 11658	
tutorial/stdlib2.html       	            324	              324	             166	                      166	         2398	           2398	           2045	                    2045	                         15338	                           15338	                          12725	                                   12725	                       17483	                         17483	                        14684	                                 14684	
tutorial/whatnow.html       	            141	              141	              40	                       40	          724	            724	            489	                     489	                          4543	                            4543	                           2878	                                    2878	                        5089	                          5089	                         3292	                                  3292	
